date,orders,units,revenue,freight_value,avg_review_score,on_time_rate
2018-03-22,254,296,31119.41,5870.38,3.762,0.882759
2018-03-23,219,256,29621.24,5016.92,3.953,0.934694
2018-03-24,165,189,23787.77,3923.65,3.862,0.882353
2018-03-25,190,226,25557.29,4635.50,3.831,0.852679
2018-03-26,271,320,35779.01,6176.67,3.972,0.863057
2018-03-27,245,289,34732.56,5897.64,4.161,0.869258
2018-03-28,219,242,29713.34,4703.32,3.893,0.875
2018-03-29,194,224,28926.73,4635.94,3.673,0.862385
2018-03-30,165,185,22088.14,4186.94,3.891,0.885246
2018-03-31,167,193,25203.73,3849.44,3.849,0.842105
2018-04-01,207,232,29396.66,4792.34,3.681,0.911504
